electoral_district_number,electoral_district_name,electoral_district_name_fr
59026,Esquimalt--Saanich--Sooke,Esquimalt--Saanich--Sooke
59027,Saanich--Gulf Islands,Saanich--Gulf Islands
59028,Skeena--Bulkley Valley,Skeena--Bulkley Valley
59029,South Okanagan--West Kootenay,Okanagan-Sud--Kootenay-Ouest
59030,South Surrey--White Rock,Surrey-Sud--White Rock
59031,Steveston--Richmond East,Steveston--Richmond-Est
59032,Surrey Centre,Surrey-Centre
59033,Surrey--Newton,Surrey--Newton
59034,Vancouver Centre,Vancouver-Centre
59035,Vancouver East,Vancouver-Est
59036,Vancouver Granville,Vancouver Granville
59037,North Island--Powell River,North Island--Powell River
59038,Vancouver Kingsway,Vancouver Kingsway
59039,Vancouver Quadra,Vancouver Quadra
59040,Vancouver South,Vancouver-Sud
59041,Victoria,Victoria
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,West Vancouver--Sunshine Coast--Sea to Sky Country
60001,Yukon,Yukon
61001,Northwest Territories,Territoires du Nord-Ouest
62001,Nunavut,Nunavut
